,route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,agency_id,route_short_name,route_long_name,route_type,route_desc
0,9011001004100000,33,14010000550085330,,1,499,14010000000001001,41,,100,Pendeltåg
1,9011001004100000,33,14010000550085582,,1,499,14010000000001001,41,,100,Pendeltåg
2,9011001004100000,15,14010000550085834,,1,499,14010000000001001,41,,100,Pendeltåg
3,9011001004100000,33,14010000550087250,,1,500,14010000000001001,41,,100,Pendeltåg
4,9011001004100000,33,14010000550087486,,1,500,14010000000001001,41,,100,Pendeltåg
5,9011001004100000,15,14010000550087722,,1,500,14010000000001001,41,,100,Pendeltåg
6,9011001004100000,15,14010000550088194,,1,500,14010000000001001,41,,100,Pendeltåg
7,9011001004100000,15,14010000550088312,,1,500,14010000000001001,41,,100,Pendeltåg
8,9011001004100000,15,14010000550088902,,1,500,14010000000001001,41,,100,Pendeltåg
9,9011001004100000,15,14010000550089020,,1,500,14010000000001001,41,,100,Pendeltåg
10,9011001004100000,15,14010000550089374,,1,500,14010000000001001,41,,100,Pendeltåg
11,9011001004100000,580,14010000550090200,,1,501,14010000000001001,41,,100,Pendeltåg
12,9011001004100000,580,14010000550090436,,1,501,14010000000001001,41,,100,Pendeltåg
13,9011001004100000,33,14010000550091585,,1,502,14010000000001001,41,,100,Pendeltåg
14,9011001004100000,125,14010000550093508,,1,502,14010000000001001,41,,100,Pendeltåg
15,9011001004100000,33,14010000550093750,,1,502,14010000000001001,41,,100,Pendeltåg
16,9011001004100000,502,14010000550093994,,1,502,14010000000001001,41,,100,Pendeltåg
17,9011001004100000,517,14010000550094796,,1,502,14010000000001001,41,,100,Pendeltåg
18,9011001004100000,581,14010000550095644,,1,502,14010000000001001,41,,100,Pendeltåg
19,9011001004100000,564,14010000550095798,,1,502,14010000000001001,41,,100,Pendeltåg
20,9011001004100000,33,14010000550084952,,1,499,14010000000001001,41,,100,Pendeltåg
21,9011001004100000,15,14010000550086086,,1,499,14010000000001001,41,,100,Pendeltåg
22,9011001004100000,15,14010000550086212,,1,499,14010000000001001,41,,100,Pendeltåg
23,9011001004100000,15,14010000550086338,,1,499,14010000000001001,41,,100,Pendeltåg
24,9011001004100000,15,14010000550086590,,1,499,14010000000001001,41,,100,Pendeltåg
25,9011001004100000,15,14010000550086716,,1,499,14010000000001001,41,,100,Pendeltåg
26,9011001004100000,33,14010000550087132,,1,500,14010000000001001,41,,100,Pendeltåg
